x	y	tooltip	clickSelects	group	xmin	xmax	ymin	ymax
0.5	5	logFC=0.5 -log10(p)=5 pixels= 6	logFC=0.5 -log10(p)=5	217	0.375	0.625	4.5	5.5
0.75	5	logFC=0.75 -log10(p)=5 pixels= 3	logFC=0.75 -log10(p)=5	225	0.625	0.875	4.5	5.5
0.75	2	logFC=0.75 -log10(p)=2 pixels= 1	logFC=0.75 -log10(p)=2	222	0.625	0.875	1.5	2.5
1	5	logFC=1 -log10(p)=5 pixels= 3	logFC=1 -log10(p)=5	231	0.875	1.125	4.5	5.5
1	4	logFC=1 -log10(p)=4 pixels= 3	logFC=1 -log10(p)=4	230	0.875	1.125	3.5	4.5
0.25	4	logFC=0.25 -log10(p)=4 pixels= 2	logFC=0.25 -log10(p)=4	211	0.125	0.375	3.5	4.5
0.75	4	logFC=0.75 -log10(p)=4 pixels= 6	logFC=0.75 -log10(p)=4	224	0.625	0.875	3.5	4.5
1	6	logFC=1 -log10(p)=6 pixels= 1	logFC=1 -log10(p)=6	232	0.875	1.125	5.5	6.5
1.25	6	logFC=1.25 -log10(p)=6 pixels= 3	logFC=1.25 -log10(p)=6	234	1.125	1.375	5.5	6.5
1	1	logFC=1 -log10(p)=1 pixels= 3	logFC=1 -log10(p)=1	227	0.875	1.125	0.5	1.5
-0.75	20	logFC=-0.75 -log10(p)=20 pixels= 6	logFC=-0.75 -log10(p)=20	39	-0.875	-0.625	19.5	20.5
-0.5	15	logFC=-0.5 -log10(p)=15 pixels= 3	logFC=-0.5 -log10(p)=15	16	-0.625	-0.375	14.5	15.5
-3	7	logFC=-3 -log10(p)=7 pixels= 1	logFC=-3 -log10(p)=7	188	-3.125	-2.875	6.5	7.5
-2.25	3	logFC=-2.25 -log10(p)=3 pixels= 4	logFC=-2.25 -log10(p)=3	158	-2.375	-2.125	2.5	3.5
-0.25	7	logFC=-0.25 -log10(p)=7 pixels= 1	logFC=-0.25 -log10(p)=7	8	-0.375	-0.125	6.5	7.5
-4.75	2	logFC=-4.75 -log10(p)=2 pixels= 1	logFC=-4.75 -log10(p)=2	201	-4.875	-4.625	1.5	2.5
-2.5	4	logFC=-2.5 -log10(p)=4 pixels= 2	logFC=-2.5 -log10(p)=4	171	-2.625	-2.375	3.5	4.5
1.25	1	logFC=1.25 -log10(p)=1 pixels= 3	logFC=1.25 -log10(p)=1	233	1.125	1.375	0.5	1.5
